Listed NAICS Code,Listed NAICS Title,Listed NIACS Code (sortable),Suggested NAICS 4D Code,Suggested NAICS 4D Title,Problem,"Notes (NB: only major reclass, i.e., change to first 4 digits of an entire code, is captured. Changes to 5/6-digit codes, or reclass of part of a code, is not)"
31-33,Manufacturing,310000,31,Manufacturing,Not In 4D Index,Supposed to be 31-33
337129,"Wood Television, Radio, and Sewing Machine Cabinet Manufacturing",337129,3219,Other Wood Product Manufacturing,"Reclass, 2012","Reclassed to 321999, ""All Other Miscellaneous Wood Product Manufacturing,"" in 2012."
339111,Laboratory Apparatus and Furniture Manufacturing,339111,3391,Medical Equipment and Supplies Manufacturing,"Reclass, 2007","This NAICS code was in fact discontinued starting in 2007, and split across six other codes. There are still some PERM entries that use this code, but due to the complexity of this case and the small number of related entries, no action taken. (One solution: to use a different name for the 3391 category, but this seemed too complicated.)"
42183,Industrial Machinery & Equipment Wholesalers,421830,4238,Industrial Machinery and Equipment Merchant Wholesalers,Not In 4D Index,"Not a valid code for 2002, 2007, 2012, or 2017. Accompanying NAICS title in the actual PERM dataset is 42183, ""Industrial Machinery & Equipment Wholesalers."" Likely corresponds to 423830, ""Industrial Machinery and Equipment Merchant Wholesalers,"" which is a valid code from 2002-17."
44-45,Retail Trade,440000,44,Retail Trade,Not In 4D Index,Supposed to be 44-45
45122,N/A,451220,4431,Electronics and Appliance Stores,"Reclass, 2012",See 451220.
451220,"Prerecorded Tape, Compact Disc, and Record Stores",451220,4431,Electronics and Appliance Stores,"Reclass, 2012","Reclassed to 443142, ""Electronics Stores,"" in 2012."
4521,Department Stores,452100,4522,Department Stores,"Reclass, 2017",Found in PERM dataset. See 452111 and 452112.
45211,Department Stores,452110,4522,Department Stores,"Reclass, 2017",Found in PERM dataset. See 452111 and 452112.
452111,Department Stores (except Discount Department Stores),452111,4522,Department Stores,"Reclass, 2017","Merged into 452210, ""Department Stores,"" in 2017."
